date,timestep,tmn,tmx,dswr,co2,doy,LAI
2002-04-30,851,2.997589111328125,15.947601318359377,15.56349754333496,385.0,120,1.488189
2002-05-31,882,6.124420166015626,19.92440795898437,18.44853401184082,385.0,151,3.7480314
2002-06-30,912,11.10577392578125,25.630798339843746,20.710716247558594,385.0,181,5.8700786
2002-07-31,943,15.395111083984377,29.4951171875,22.220029830932614,385.0,212,5.2086616
2002-08-31,974,15.0413818359375,29.916381835937496,19.655982971191406,385.0,243,5.9803147
2002-09-30,1004,11.703948974609377,25.928955078125,16.010438919067383,385.0,273,4.850394
2002-10-31,1035,2.9708557128906246,14.54583740234375,10.001462936401367,385.0,304,2.948819
2002-11-30,1065,-1.052947998046875,8.17205810546875,6.8026251792907715,385.0,334,1.4606299
2002-12-31,1096,-7.601074218750002,1.7489624023437502,5.861159801483153,385.0,365,1.1850394
2003-01-31,1127,-13.3978271484375,-2.997711181640625,7.331339836120605,385.0,31,-9999.0
2003-02-28,1155,-11.29736328125,-0.697357177734375,9.786542892456055,385.0,59,0.8818897599999999
2003-03-31,1186,-5.857025146484375,7.942993164062499,13.501468658447262,385.0,90,1.488189
2003-04-30,1216,0.18963623046875003,12.589630126953123,15.085643768310547,385.0,120,1.5984251
2003-05-31,1247,6.865722656249999,19.36572265625,15.555612564086916,385.0,151,2.452756
2003-06-30,1277,12.6314697265625,24.656494140625,18.19523811340332,385.0,181,5.4015746
2003-07-31,1308,15.652069091796877,28.752044677734368,20.404577255249023,385.0,212,5.2362204
2003-08-31,1339,16.34548950195312,28.345520019531246,17.06210327148438,385.0,243,4.437008
2003-09-30,1369,11.02130126953125,23.396362304687504,13.820812225341795,385.0,273,4.8228345
2003-10-31,1400,2.68603515625,15.986083984375002,9.705267906188963,385.0,304,2.425197
2003-11-30,1430,0.135467529296875,11.035491943359377,6.432721138000487,385.0,334,1.0472441
2003-12-31,1461,-5.964477539062499,3.5355224609375,5.234011650085449,385.0,365,0.9094488
2004-01-31,1492,-13.332336425781252,-4.457336425781249,6.960097312927246,385.0,31,1.3228346
2004-02-29,1521,-8.592010498046875,2.8330078124999996,10.686613082885742,385.0,60,1.5984251
2004-03-31,1552,-2.6482849121093754,8.051727294921875,12.739639282226562,385.0,91,0.8543307
2004-04-30,1582,2.5045776367187504,15.554595947265625,16.503116607666016,385.0,121,1.7086614
2004-05-31,1613,8.850280761718752,22.875244140625,18.797164916992188,385.0,152,5.7598424
2004-06-30,1643,11.069580078125,25.26953125,20.747589111328125,385.0,182,5.3464565
2004-07-31,1674,15.236175537109377,26.886230468749996,18.744050979614254,385.0,213,5.9251966
2004-08-31,1705,14.616485595703123,27.1414794921875,17.269140243530273,385.0,244,5.2362204
2004-09-30,1735,10.8421630859375,24.16717529296875,15.074162483215332,385.0,274,4.6850395
2004-10-31,1766,4.463500976562499,16.488525390625,10.227836608886719,385.0,305,2.6732283
2004-11-30,1796,-0.7490234375,10.826019287109377,6.661849498748779,385.0,335,1.1299213
2004-12-31,1827,-6.843231201171876,3.3817749023437496,4.8651976585388175,385.0,366,0.96456695
2005-01-31,1858,-11.215118408203123,-1.2651367187500002,6.6851911544799805,385.0,31,0.6889764
2005-02-28,1886,-9.130035400390623,2.6949462890625,10.312611579895021,385.0,59,1.2125984
2005-03-31,1917,-6.84222412109375,4.832733154296875,14.158107757568361,385.0,90,2.3149607
2005-04-30,1947,1.9683532714843752,17.193359375,17.427547454833984,385.0,120,1.8188976
2005-05-31,1978,5.64691162109375,18.22189331054688,18.36043739318848,385.0,151,2.9212599
2005-06-30,2008,14.637481689453123,28.33740234375,20.10273742675781,385.0,181,6.3385825
2005-07-31,2039,16.036102294921875,28.711120605468754,20.08500480651856,385.0,212,6.0354333
2005-08-31,2070,16.10955810546875,29.43463134765625,17.332189559936523,385.0,243,5.4566927
2005-09-30,2100,11.313812255859377,26.28884887695312,15.714669227600096,385.0,273,5.1535435
2005-10-31,2131,5.98236083984375,17.08233642578125,8.831318855285645,385.0,304,0.992126
2005-11-30,2161,-0.762603759765625,11.662414550781252,6.951553821563721,385.0,334,1.1299213
2005-12-31,2192,-8.209808349609375,0.8901672363281249,5.814867973327637,385.0,365,1.3228346
2006-01-31,2223,-6.27325439453125,4.20172119140625,5.7929182052612305,385.0,31,1.019685
2006-02-28,2251,-8.54779052734375,2.62725830078125,9.568636894226074,385.0,59,1.0748031
2006-03-31,2282,-4.550567626953125,8.27447509765625,14.055710792541507,385.0,90,1.7086614
2006-04-30,2312,1.85888671875,16.83392333984375,16.950735092163086,385.0,120,1.9291339
2006-05-31,2343,8.269866943359375,20.319885253906246,15.982738494873047,385.0,151,3.6377952
2006-06-30,2373,14.248565673828125,24.973541259765625,16.15472602844238,385.0,181,5.649606
2006-07-31,2404,16.898956298828125,29.848999023437496,20.322147369384766,385.0,212,5.7322836
2006-08-31,2435,13.843902587890623,27.31887817382813,18.277843475341797,385.0,243,5.897638
2006-09-30,2465,9.869598388671875,22.9696044921875,13.416254043579102,385.0,273,4.492126
2006-10-31,2496,3.6680908203125,16.81814575195312,9.923128128051756,385.0,304,1.9566929
2006-11-30,2526,1.6424560546875002,12.1424560546875,6.259851932525635,385.0,334,1.019685
2006-12-31,2557,-2.8072509765624996,7.167724609375001,5.103075504302979,385.0,365,1.019685
2007-01-31,2588,-7.21881103515625,2.7311401367187504,6.320677757263184,385.0,31,1.019685
2007-02-28,2616,-11.411163330078125,-0.96112060546875,10.001438140869139,385.0,59,1.515748
2007-03-31,2647,-5.868316650390626,6.93170166015625,12.914216041564941,385.0,90,1.1299213
2007-04-30,2677,0.9727783203125,12.897796630859377,14.698612213134766,385.0,120,1.5984251
2007-05-31,2708,7.827728271484374,23.577758789062496,21.635032653808594,385.0,151,3.940945
2007-06-30,2738,12.589874267578125,26.31484985351562,21.27543830871582,385.0,181,6.0354333
2007-07-31,2769,14.83209228515625,27.90704345703125,20.685171127319332,385.0,212,5.0984254
2007-08-31,2800,14.200408935546877,28.425476074218754,18.564115524291992,385.0,243,5.7874017
2007-09-30,2830,10.377899169921875,25.877960205078125,16.438650131225582,385.0,273,5.3188977
2007-10-31,2861,7.471221923828123,20.59628295898437,10.030691146850586,385.0,304,3.059055
2007-11-30,2891,-2.187896728515625,8.762115478515625,6.475552558898926,385.0,334,1.2677165
2007-12-31,2922,-7.233551025390624,1.641448974609375,4.815931797027588,385.0,365,0.8543307
2008-01-31,2953,-8.641754150390625,2.28326416015625,6.617273807525635,385.0,31,0.496063
2008-02-29,2982,-8.135955810546873,1.8139953613281248,9.262038230895996,385.0,60,0.6614173
2008-03-31,3013,-4.766845703125,6.08319091796875,13.261536598205565,385.0,91,1.4055119
2008-04-30,3043,2.4302978515625,17.230377197265625,17.038898468017578,385.0,121,1.9015749
2008-05-31,3074,5.778778076171876,20.9288330078125,19.210399627685543,385.0,152,3.5
2008-06-30,3104,13.8143310546875,26.689300537109368,19.770172119140625,385.0,182,5.484252
2008-07-31,3135,16.4495849609375,28.849639892578125,20.143207550048828,385.0,213,6.2834644
2008-08-31,3166,13.32373046875,26.698669433593754,17.407539367675778,385.0,244,5.4566927
2008-09-30,3196,10.874237060546877,23.69924926757812,14.07563018798828,385.0,274,4.850394
2008-10-31,3227,2.663787841796875,16.81378173828125,10.585738182067873,385.0,305,2.3425198
2008-11-30,3257,-0.785064697265625,9.03997802734375,6.895334720611573,385.0,335,1.2125984
2008-12-31,3288,-6.580596923828124,3.6443481445312504,4.649706840515137,385.0,366,1.019685
2009-01-31,3319,-13.700866699218748,-2.4758911132812496,6.905349731445313,385.0,31,1.0748031
2009-02-28,3347,-8.594635009765625,3.205322265625,10.120139122009277,385.0,59,0.71653545
2009-03-31,3378,-4.044464111328125,8.155548095703123,13.420029640197756,385.0,90,1.1299213
2009-04-30,3408,2.57525634765625,16.32525634765625,16.13252067565918,385.0,120,1.7913386
2009-05-31,3439,7.32196044921875,21.12191772460937,17.06340217590332,385.0,151,4.437008
2009-06-30,3469,12.777099609374998,23.502044677734368,18.311695098876957,385.0,181,-9999.0
2009-07-31,3500,13.851409912109377,25.601379394531246,19.719434738159176,385.0,212,5.484252
2009-08-31,3531,15.00238037109375,28.00241088867188,17.275182723999023,385.0,243,5.1811023
2009-09-30,3561,8.883209228515625,22.883239746093754,14.831393241882322,385.0,273,4.7677164
2009-10-31,3592,3.2621459960937496,14.887176513671875,9.689206123352049,385.0,304,1.5708661
2009-11-30,3622,1.394012451171875,12.144012451171875,6.577816009521484,385.0,334,1.1023622
2009-12-31,3653,-6.550140380859376,1.9498596191406248,5.457163333892822,385.0,365,-9999.0
2010-01-31,3684,-11.0343017578125,-0.4786682128906249,6.709907054901123,385.0,31,1.488189
2010-02-28,3712,-9.74945068359375,1.595672607421875,9.43062496185303,385.0,59,0.52362204
2010-03-31,3743,-4.56512451171875,7.384002685546875,12.847484588623049,385.0,90,1.2677165
2010-04-30,3773,1.3764648437500002,14.720062255859377,16.413959503173828,385.0,120,1.4330709
2010-05-31,3804,7.343292236328125,21.54080200195312,19.029611587524414,385.0,151,4.8228345
2010-06-30,3834,12.224578857421875,25.805236816406246,20.274084091186523,385.0,181,5.125984
2010-07-31,3865,14.902679443359377,28.20272827148437,20.974092483520508,385.0,212,5.7322836
2010-08-31,3896,14.017974853515625,27.28732299804688,17.892799377441406,385.0,243,5.53937
2010-09-30,3926,9.616546630859377,23.13668823242188,14.047701835632322,385.0,273,4.8228345
2010-10-31,3957,3.8978576660156254,16.95269775390625,10.216465950012209,385.0,304,2.03937
2010-11-30,3987,-1.12744140625,9.5733642578125,6.965060710906982,385.0,334,1.1023622
2010-12-31,4018,-7.91644287109375,1.92962646484375,5.64495086669922,385.0,365,1.2952756
2011-01-31,4049,-11.146820068359377,-0.5911560058593751,6.896796703338623,385.0,31,0.96456695
