"doy","NEE_gCm2day","NEE_unc_gCm2day","GPP_gCm2day","GPP_unc_gCm2day","Reco_gCm2day","Reco_unc_gCm2day","Evap_kgH2Om2day","Evap_unc_kgH2Om2day","LAI_m2m2","LAI_unc_m2m2","Cwood_stock_gCm2","Cwood_stock_unc_gCm2"
29,0.33819071446652,0.58,-9999,1,-9999,1,0.122796590475826,1,-9999,-9999,-9999,-9999
57,0.114095721886937,0.58,-9999,1,-9999,1,0.178233284212228,1,-9999,-9999,-9999,-9999
88,-1.14078719758012,0.58,-9999,1,-9999,1,0.599465109118223,1,-9999,-9999,-9999,-9999
118,-2.30260969058361,0.58,-9999,1,-9999,1,1.35234581117659,1,1.400000073,0.218333328,-9999,-9999
149,-2.94044671227846,0.58,-9999,1,-9999,1,1.92636378006944,1,1.688888977,0.299999993,-9999,-9999
179,-2.08143697057103,0.58,-9999,1,-9999,1,1.72286764884284,1,3.577777964,0.709999984,5485,663
210,-1.36578863673992,0.58,-9999,1,-9999,1,1.38191576369452,1,4.377778006,0.624999986,-9999,-9999
241,-0.0376624138517955,0.58,-9999,1,-9999,1,0.82054540940929,1,3.277777949,0.468333323,-9999,-9999
271,0.90098687558988,0.58,-9999,1,-9999,1,0.222249504694476,1,2.16666678,0.436666657,-9999,-9999
302,-9999,0.58,-9999,1,-9999,1,0.118587578027592,1,1.277777844,0.428333324,-9999,-9999
332,0.696299263957895,0.58,-9999,1,-9999,1,0.174289579433849,1,0.533333361,0.389999991,-9999,-9999
363,0.487372057464225,0.58,-9999,1,-9999,1,0.0949862661756714,1,-9999,-9999,-9999,-9999
29,0.3168787154582,0.58,-9999,1,-9999,1,0.126696848456148,1,-9999,-9999,-9999,-9999
57,0.141228885073539,0.58,-9999,1,-9999,1,0.247784781152122,1,-9999,-9999,-9999,-9999
88,-1.34595108766413,0.58,-9999,1,-9999,1,0.748504716665567,1,-9999,-9999,-9999,-9999
118,-2.94185503629986,0.58,-9999,1,-9999,1,1.56964903117345,1,1.333333403,0.229999995,-9999,-9999
149,-3.23421193716218,0.58,-9999,1,-9999,1,2.27493709645977,1,1.855555652,0.366666658,-9999,-9999
179,-2.3951561562775,0.58,-9999,1,-9999,1,1.84983240323912,1,3.900000203,0.614999986,5925,663
210,-0.859959037898964,0.58,-9999,1,-9999,1,1.06677902222772,1,4.188889107,0.61833332,-9999,-9999
241,0.554256003847443,0.58,-9999,1,-9999,1,0.638642932482396,1,3.800000198,0.581666654,-9999,-9999
271,1.13270466430746,0.58,-9999,1,-9999,1,0.247559404782041,1,2.688889029,0.45999999,-9999,-9999
302,0.973256400709179,0.58,-9999,1,-9999,1,0.166297331387151,1,3.133333497,0.374999992,-9999,-9999
332,0.881253135438,0.58,-9999,1,-9999,1,0.173451894895569,1,-9999,-9999,-9999,-9999
363,0.555025990115428,0.58,-9999,1,-9999,1,0.169748781654551,1,-9999,-9999,-9999,-9999
29,0.124600054961531,0.58,-9999,1,-9999,1,0.265200212754566,1,-9999,-9999,-9999,-9999
57,-0.538365612791073,0.58,-9999,1,-9999,1,0.590655278831034,1,-9999,-9999,-9999,-9999
88,-1.45948986822044,0.58,-9999,1,-9999,1,1.13942171046247,1,1.300000068,0.209999995,-9999,-9999
118,-2.58863153167611,0.58,-9999,1,-9999,1,1.8497380889389,1,1.7111112,0.248333328,-9999,-9999
149,-2.67701895915521,0.58,-9999,1,-9999,1,2.1528529022687,1,2.377777902,0.418333324,-9999,-9999
179,-2.20491112447197,0.58,-9999,1,-9999,1,2.0479425583107,1,3.777777975,0.616666653,-9999,-9999
210,-1.02088585567955,0.58,-9999,1,-9999,1,1.44588138716918,1,4.016666876,0.634999986,-9999,-9999
241,0.321312297136832,0.58,-9999,1,-9999,1,0.672234498405379,1,3.888889092,0.574999987,-9999,-9999
271,0.745742048411562,0.58,-9999,1,-9999,1,0.33586431968739,1,1.683333421,0.419999991,-9999,-9999
302,0.684985146907961,0.58,-9999,1,-9999,1,0.248562503622027,1,2.022222328,0.274999994,-9999,-9999
332,0.611667338464231,0.58,-9999,1,-9999,1,0.258488780935485,1,-9999,-9999,-9999,-9999
363,0.485540652437081,0.58,-9999,1,-9999,1,0.286776843014123,1,-9999,-9999,-9999,-9999
29,0.275741231001594,0.58,-9999,1,-9999,1,0.372046292244919,1,-9999,-9999,-9999,-9999
57,-0.655637532838932,0.58,-9999,1,-9999,1,0.755818540042539,1,-9999,-9999,-9999,-9999
88,-2.08772107487379,0.58,-9999,1,-9999,1,1.19724214774417,1,-9999,-9999,-9999,-9999
