"doy","mint_C","maxt_C","airt_C","co2_ppm","swrad_MJm2day","vpd_kPa","precip_kgm2s","wind_spd_ms"
31,-11.1764516129032,-6.17564516129032,-8.61733333333333,385.704295026882,0.737710838709677,0.0125370967741935,0,1.72081922043011
60,-9.0121724137931,-3.379,-6.04915876436782,384.981206178161,2.24402002758621,0.0341591235632184,3.32614942528736e-06,3.31816451149425
91,-4.67129032258064,1.9121935483871,-1.37819086021505,384.726202284946,7.31224503870968,0.143644825268817,2.80129928315412e-06,3.55242338709677
121,-0.662133333333333,9.50666666666667,4.77039791666667,381.692890277778,16.512726,0.443336041666667,8.97762345679012e-07,3.12391666666667
152,4.53838709677419,13.0212903225806,8.87521908602151,378.448980510753,15.3379329677419,0.382970161290323,1.76821983273596e-05,3.2866935483871
182,7.973,15.421,12.0036944444444,376.84680625,16.01470704,0.615607291666667,4.55208333333333e-05,3.38911319444444
213,12.0523870967742,18.8917096774194,15.5024731182796,373.462134408602,15.4191134903226,0.557682190860215,3.95336768219833e-05,3.13548857526882
244,11.3977741935484,18.4000967741935,14.9155524193548,372.326727822581,12.8211255290323,0.538167271505376,1.52695639187575e-05,3.37050537634409
274,7.87266666666667,13.1033333333333,10.6388402777778,374.403086805556,6.35849388,0.260924513888889,3.37191358024691e-05,3.5636375
305,1.52161290322581,6.27241935483871,3.84121572580645,377.682787634409,3.66261212903226,0.141164314516129,1.56436678614098e-05,3.11668212365591
335,-3.946,0.174333333333333,-1.85000625,381.8143125,1.0508166,0.0814127083333333,7.34567901234568e-06,3.41757291666667
366,-4.80741935483871,-0.284838709677419,-2.33448252688172,383.929091397849,0.379917580645161,0.0350368279569893,1.30749701314217e-05,3.69767540322581
31,-4.89709677419355,-1.34096774193548,-3.08486559139785,386.131061827957,0.638796309677419,0.0412456989247312,3.01724910394265e-05,3.76151680107527
59,-9.49642857142857,-4.21689285714286,-6.73456473214286,389.103082589286,2.89170122142857,0.036924255952381,8.4312996031746e-06,3.48464806547619
90,-11.1445161290323,-2.23645161290323,-6.50251344086021,384.391834005376,9.33113038064516,0.12942123655914,2.14045698924731e-06,3.44764112903226
120,-0.448133333333333,8.07023333333333,3.95351805555556,384.9732375,14.24158008,0.354057222222222,7.42283950617284e-06,3.4400375
151,4.55603225806452,12.5442580645161,8.6986626344086,383.030644489247,17.2083927483871,0.510488978494624,1.55241935483871e-05,3.6464811827957
181,9.20036666666667,16.9433333333333,13.2942541666667,376.223011111111,18.39312168,0.55078625,3.22793209876543e-05,3.34848819444444
212,13.5432258064516,21.9422580645161,18.0204435483871,375.215773521505,20.0286888387097,0.710462432795699,4.05913978494624e-05,2.81823790322581
243,11.2130967741935,18.1782258064516,14.5336572580645,374.194108870968,12.0614898774194,0.376440658602151,5.03946385902031e-05,3.64984543010753
273,6.895,14.368,10.755175,373.353735416667,9.3654525,0.325637847222222,1.79243827160494e-05,3.98656388888889
304,3.30032258064516,8.15806451612903,5.6558689516129,374.531557795699,3.64935942580645,0.154049865591398,1.29491487455197e-05,3.91799798387097
334,1.085,4.19,2.76020208333333,381.135784722222,0.67184058,0.070305,2.32750771604938e-05,3.99097152777778
365,-7.71538709677419,-3.24735483870968,-5.52365994623656,378.431691532258,0.390307006451613,0.0307904569892473,1.17122162485066e-05,2.84986693548387
31,-9.07916129032258,-4.33064516129032,-6.44275,380.029913306452,0.980612129032258,0.036882997311828,4.98431899641577e-06,3.40174193548387
59,-13.1043928571429,-7.30114285714286,-10.0819680059524,385.251161458333,3.08889906428571,0.0172497767857143,7.21147486772487e-06,2.55497470238095
90,-10.8738709677419,-3.84645161290323,-7.27754637096774,379.517149193548,8.06568526451613,0.0708647849462366,1.05958781362007e-05,3.44789045698925
120,-0.224433333333333,6.64766666666667,3.16437430555556,377.827670833333,12.4159584,0.308206736111111,1.11689814814815e-05,3.44028541666667
