"run_day","mint_C","maxt_C","swrad_MJm2day","co2_ppm","doy","precip_kgm2s","deforestation_fraction","burnt_area_fraction","mint_21day","dayl_21day","vpd_21day","management_type","avgTemp_C","wind_spd_ms","vpd_Pa"
761,22.8482767105103,31.2683292388916,17.0309710245835,374.8459375,31,2.62127353622126e-05,0.000142395607986395,0,22.6938747950963,43759.0855600724,503.279929899204,2,27.058302974701,1.35785237234086,515.237789380743
789,22.0274144665948,30.3273317534348,17.1445301749495,375.613793103448,59,0.000125826555785727,0.00012861538785868,0,22.2116915297235,43601.8542087828,397.249286524314,2,26.1773731100149,1.1135201887067,445.306392152666
820,22.131400680542,30.3719583511353,16.5792275649125,376.4246875,90,0.000108453306719455,0.000142395607986395,0,22.0223546981812,43354.6571697198,375.241055869123,2,26.2516795158386,1.08289428771241,365.470188205611
850,22.3970807475429,30.6237387380293,16.1248388978167,377.688709677419,120,0.000133049355160091,0.000137802201277157,0,22.3479674167897,43072.6411441706,378.935234604813,2,26.5104097427861,0.969358053539068,398.319497004724
881,22.7894931793213,30.6850906372071,16.6874710292932,378.5728125,151,7.59027004211159e-05,0.000142395607986395,0,22.6693145025345,42813.6495945508,394.452786023775,2,26.7372919082642,0.985402338556014,384.87627898472
911,21.7335104665449,31.1386185184602,17.0825712470784,378.290322580645,181,5.83293998350508e-05,0.000137802201277157,0,22.1782745408206,42643.5395060741,406.76047354528,2,26.4360644925026,1.00001060127491,389.306535195942
942,21.7040124893189,31.8886047363281,18.4710654945968,376.749375,212,3.54296479202048e-05,0.000142395607986395,0,21.6168006079538,42636.5990642734,546.938673832183,2,26.7963086128235,0.919762763893232,489.056514749181
973,21.9553504943848,32.4805704116822,19.728577134537,374.4525,243,3.36369596245804e-05,0.000142395607986395,0,21.9223072233655,42798.9046728006,619.037562140278,2,27.2179604530335,1.08734974963591,610.719590320845
1003,22.090458826865,32.8759478169103,20.5404460342376,373.209032258065,273,2.80137843718303e-05,0.000137802201277157,0,21.9649589667489,43054.3683484703,644.115000772374,2,27.4832033218876,1.09133955361622,634.597137377661
1034,22.8043371200562,33.2215658187866,20.3035576915813,373.150625,304,2.37947450316915e-05,0.000142395607986395,0,22.6835797446115,43336.4445042425,769.248019041465,2,28.0129514694214,1.28281577141024,768.929158031215
1064,22.6332897555444,33.1702554025958,19.0902147312938,374.611290322581,334,3.40925713230004e-05,0.000137802201277157,0,22.6357337400844,43594.024850437,730.689664406065,2,27.9017725790701,1.11980974085389,720.842448024206
1095,22.6296621322632,32.2874475479126,17.7672415107203,375.9484375,365,2.40360143855982e-05,0.000142395607986395,0,22.6797848928543,43759.0855600724,669.696669249882,2,27.4585548400879,1.22174896928482,714.974094336399
1126,22.6228900909424,31.1953874588013,17.2199299500562,376.9684375,31,5.65808875572861e-05,8.10769207808854e-05,0,22.6982888993763,43759.0855600724,597.033856540457,2,26.9091387748718,1.00080744107254,633.290511283445
1155,21.8039235432943,30.3318979899089,16.8615742949402,377.841,60,0.00014542398698578,7.58461516982477e-05,0,21.9032827710349,43597.9521825614,398.351850371422,2,26.0679107666016,0.929393940791488,467.359651154678
1186,22.1035448074341,30.4753595352173,16.7188159234922,378.8484375,91,0.000127064664368288,8.10769207808854e-05,0,22.0580925986881,43345.563999061,379.699480241248,2,26.2894521713257,0.922312144277385,350.878546360001
1216,22.5961095010081,31.1228251795615,16.3731050460876,380.302580645161,121,9.8705120207973e-05,7.84615362395665e-05,0,22.4606619886173,43063.4925300801,414.252334758386,2,26.8594673402848,0.903391273091397,396.125937023129
1247,22.9300199508667,30.9221435546875,16.737723947604,380.6115625,152,9.19712404372657e-05,8.10769207808854e-05,0,22.9025975000291,42806.228562319,429.851885124759,2,26.9260817527771,0.860545972944237,427.500796871538
1277,21.5790452526462,30.9598288259199,17.0963145964475,379.72,182,5.27175619439564e-05,7.84615362395665e-05,0,21.9843637867824,42640.4268016917,410.520788125893,2,26.269437039283,0.965163022640251,430.011798984936
1308,21.6750198364258,31.738560295105,18.4496003332569,377.539375,213,4.35952419037171e-05,8.10769207808854e-05,0,21.5438258125669,42639.4297007785,496.538916096685,2,26.7067900657654,0.985983965743799,455.500290512362
1339,22.7596603393555,31.7903715133667,19.6981880844162,376.055625,244,2.95352965497548e-05,8.10769207808854e-05,0,22.3817864190964,42806.228562319,616.83581839626,2,27.2750159263611,1.05699338682462,595.611490891149
